industria_io,fonte_calibrazione,kappa_calibrato,moltiplicatore_u_nel_vincolo,theta_deriva_annua,K_cap_a0,capacita_a0,x_osservato_a0,utilizzo_implicito_a0,kappa_2010,kappa_2011,kappa_2012,kappa_2013,kappa_2014,kappa_2015,kappa_2016,kappa_2017,kappa_2018,kappa_2019
484,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.4062210518,0.8344374909,-0.01506315857,111.4049698,328.6611197,274.2471601,0.8344374909,0.3389660752,0.3441500622,0.3494133306,0.3547570929,0.3601825802,0.3656910424,0.3712837484,0.3769619865,0.382727065,0.3885803119
485,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.9221616546,0.7496061059,0.02631918013,44.39003817,64.21630957,48.13693776,0.7496061059,0.691258007,0.6735312175,0.6562590182,0.6394297514,0.6230320584,0.6070548719,0.5914874082,0.5763191604,0.5615398909,0.5471396246
486,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,5.349188282,0.7579118818,-0.03515594357,177.5758029,43.80031027,33.19677558,0.7579118818,4.054213357,4.201936396,4.355042007,4.513726315,4.678192589,4.848651508,5.025321424,5.208428648,5.398207735,5.594901786
487OS,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.7271778064,0.8523440023,0.02105247386,132.371665,213.5696355,182.0347979,0.8523440023,0.6198056419,0.6070262379,0.5945103248,0.5822524699,0.5702473524,0.5584897613,0.546974593,0.5356968491,0.5246516342,0.5138341541
493,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.4920346172,0.8515581714,0.03957603106,41.95357471,100.1287955,85.26549403,0.8515581714,0.4189960989,0.4030451707,0.3877014847,0.3729419235,0.35874425,0.3450870732,0.331949817,0.3193126881,0.3071566471,0.2954633792
4A0,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.800556479,0.8339758208,-0.009518484697,569.8976858,853.5942036,711.8769266,0.8339758208,0.6676447466,0.6740607839,0.680538479,0.6870784245,0.6936812185,0.7003474652,0.7070777741,0.7138727611,0.7207330476,0.7276592611
511,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.8564109193,0.684065988,-0.02721136876,247.4065521,422.309648,288.8876666,0.684065988,0.5858415816,0.6022290586,0.619074935,0.6363920333,0.6541935348,0.6724929895,0.6913043264,0.7106418643,0.7305203221,0.750954831
512,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.917335458,0.8566456167,-0.007442570785,253.7380425,154.4849883,132.338888,0.8566456167,1.642477016,1.65479293,1.667201193,1.679702497,1.692297541,1.704987028,1.717771665,1.730652167,1.743629251,1.756703642
513,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.663855556,0.965811585,-0.003213270411,1152.350331,717.0946778,692.5783474,0.965811585,1.606970971,1.612151249,1.617348227,1.622561957,1.627792494,1.633039893,1.638304208,1.643585492,1.648883802,1.654199191
514,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.5000304441,0.8216947243,-0.02477826104,81.98949775,199.5497925,163.9690117,0.8216947243,0.4108723779,0.4213117504,0.4320163647,0.4429929599,0.4542484465,0.4657899105,0.4776246179,0.4897600195,0.5022037553,0.5149636592
521CI,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.045536592,0.9234751004,-0.008789291452,756.1214406,783.1178551,723.1898399,0.9234751004,0.9655270094,0.9740885576,0.982726023,0.9914400788,1.000231404,1.009100684,1.01804861,1.027075879,1.036183195,1.045371268
523,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.2916863505,0.7790232508,-0.03799542881,144.8100005,637.2825522,496.4579255,0.7790232508,0.227230449,0.2362051655,0.2455343484,0.2552319976,0.2653126661,0.2757914817,0.2866841697,0.2980070763,0.3097771936,0.3220121847
524,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3597670519,0.8516325557,0.02374554701,244.5303431,798.1033151,679.690766,0.8516325557,0.3063893339,0.2992827024,0.2923409076,0.2855601262,0.2789366235,0.2724667515,0.2661469466,0.2599737283,0.2539436963,0.2480535295
525,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3463417024,0.6645380622,-0.01310269733,41.10684832,178.603322,118.6887055,0.6645380622,0.2301572437,0.2332129626,0.2363092512,0.2394466481,0.2426256993,0.2458469575,0.2491109833,0.2524183445,0.2557696164,0.2591653819
532RL,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.296939451,0.7742735721,-0.03035794732,359.6606606,358.1614179,277.3149204,0.7742735721,1.004185941,1.035625403,1.068049184,1.101488101,1.135973938,1.171539472,1.208218506,1.246045902,1.285057613,1.325290719
5411,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.1445395701,0.7961388434,-0.03197119161,44.1703929,383.8448254,305.5937754,0.7961388434,0.1150735661,0.1188741132,0.1228001813,0.1268559161,0.1310456001,0.1353736572,0.1398446576,0.1444633221,0.1492345278,0.1541633126
5412OP,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3998236139,0.8145465293,-0.01885681959,421.8795812,1295.400822,1055.164244,0.8145465293,0.325674937,0.3319341596,0.3383136796,0.3448158091,0.3514429046,0.3581973677,0.3650816464,0.3720982357,0.3792496785,0.3865385665
5415,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3083959424,0.5615431328,-0.001161275907,93.76101499,541.4152997,304.0280435,0.5615431328,0.1731776236,0.1733789644,0.1735805393,0.1737823486,0.1739843925,0.1741866713,0.1743891852,0.1745919346,0.1747949198,0.1749981409
55,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.7971306917,0.7805480314,-0.001307628001,342.5689555,550.5779821,429.75256,0.7805480314,0.6221987922,0.623013462,0.6238291985,0.6246460031,0.6254638772,0.6262828222,0.6271028394,0.6279239303,0.6287460963,0.6295693388
561,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.2454733909,0.7482442906,-0.02500121595,147.7346348,804.3304113,601.835638,0.7482442906,0.1836740633,0.1883838896,0.1932144867,0.1981689514,0.2032504601,0.2084622703,0.2138077234,0.2192902462,0.2249133535,0.2306806502
562,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.125067951,0.9255275435,0.01511668213,96.83303353,92.9941087,86.06860898,0.9255275435,1.041281377,1.025775061,1.010499659,0.9954517316,0.9806278914,0.9660248016,0.9516391747,0.9374677724,0.9235074045,0.9097549284
61,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.515162278,1,-0.01438968699,466.6761863,308.004095,308.004095,1,1.515162278,1.537283304,1.559727291,1.582498956,1.605603082,1.629044523,1.652828203,1.67695912,1.701442343,1.726283015
621,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3711153244,0.9437239991,0.004813531649,306.423794,874.9205112,825.6834837,0.9437239991,0.3502304381,0.3485526688,0.3468829368,0.3452212036,0.3435674309,0.3419215806,0.3402836146,0.3386534953,0.337031185,0.3354166464
622,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.123075472,0.9769514058,-0.0194931618,742.2691719,676.5182536,660.9254589,0.9769514058,1.097190162,1.119003069,1.141249633,1.163938474,1.187078385,1.210678334,1.234747466,1.259295109,1.284330777,1.309864171
623,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3711655509,0.8887876416,-0.03326457873,75.25492484,228.1230965,202.752989,0.8887876416,0.3298873546,0.3412385099,0.3529802492,0.3651260122,0.377689701,0.390685696,0.4041288727,0.4180346182,0.4324188491,0.4472980296
624,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3122041325,0.9010161735,-0.01357161455,53.08678545,188.7188121,170.038702,0.9010161735,0.2813009728,0.2851712065,0.2890946882,0.2930721505,0.297104336,0.3011919977,0.3053358988,0.3095368131,0.3137955251,0.3181128298
711AS,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.070432249,0.8832789542,0.006364429395,147.8621402,156.3867379,138.1331143,0.8832789542,0.9454902778,0.9395108275,0.9335691923,0.927665133,0.9217984121,0.9159687934,0.9101760422,0.9044199255,0.8987002114,0.8930166699
713,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.295197412,0.753480711,-0.02075736498,152.5018004,156.2668523,117.744059,0.753480711,0.9759062668,0.9965929096,1.017718055,1.039290997,1.061321229,1.083818444,1.106792541,1.130253628,1.154212029,1.178678284
721,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.758585192,0.7348443114,-0.008620859175,342.9939351,265.4163621,195.0397039,0.7348443114,1.292286325,1.30352382,1.314859035,1.326292818,1.337826028,1.349459529,1.361194192,1.373030898,1.384970534,1.397013995
722,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3998901517,0.912651159,0.01069706711,229.7002163,629.3842721,574.4082853,0.912651159,0.3649602104,0.3610975259,0.3572757235,0.3534943705,0.3497530388,0.3460513048,0.3423887493,0.3387649578,0.33517952,0.3316320299
81,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.012023585,0.8156324268,-0.02193782326,566.9864529,686.8905872,560.2502366,0.8156324268,0.8254392526,0.843953761,0.8628835478,0.8822379275,0.9020264238,0.9222587737,0.942944933,0.9640950805,0.9857196234,1.007829202
ORE,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.413730988,0.7209336179,0.02570354553,1150.409116,1128.730496,813.7397603,0.7209336179,1.019206196,0.9936654706,0.9687647809,0.9444880883,0.9208197558,0.8977445382,0.8752475724,0.8533143677,0.8319307965,0.8110830855
HS,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,9.543514126,0.9804055425,-0.0008915808388,16313.21928,1743.514628,1709.351405,0.9804055425,9.356514144,9.364863677,9.373220661,9.381585102,9.389957008,9.398336385,9.406723239,9.415117577,9.423519407,9.431928734
